[2022-11-05 04:09:02.307633] Process 0. Episode 50, average_reward -0.080000
Episode 21700: Total Loss of tensor([[0.1072]], grad_fn=<SubBackward0>)
[2022-11-05 22:19:25.612642] Process 2. Episode 21900, average_reward -0.074840
Episode 21900: Total Loss of tensor([[12.1702]], grad_fn=<SubBackward0>)
[2022-11-05 22:19:34.891143] Process 1. Episode 21050, average_reward -0.068789
Episode 21050: Total Loss of tensor([[13.2273]], grad_fn=<SubBackward0>)
[2022-11-05 22:19:38.312847] Process 0. Episode 21500, average_reward -0.070000
Episode 21500: Total Loss of tensor([[13.7605]], grad_fn=<SubBackward0>)
[2022-11-05 22:20:22.412091] Process 3. Episode 21400, average_reward -0.072477
Episode 21400: Total Loss of tensor([[12.5235]], grad_fn=<SubBackward0>)
[2022-11-05 22:20:44.374187] Process 4. Episode 22850, average_reward -0.072254
Episode 22850: Total Loss of tensor([[1.3673]], grad_fn=<SubBackward0>)
[2022-11-05 22:21:24.080235] Process 5. Episode 21750, average_reward -0.069701
Episode 21750: Total Loss of tensor([[6.8268]], grad_fn=<SubBackward0>)
[2022-11-05 22:22:05.211309] Process 2. Episode 21950, average_reward -0.074852
Episode 21950: Total Loss of tensor([[0.9680]], grad_fn=<SubBackward0>)
[2022-11-05 22:22:07.446503] Process 0. Episode 21550, average_reward -0.069977
Episode 21550: Total Loss of tensor([[6.7912]], grad_fn=<SubBackward0>)
[2022-11-05 22:22:15.275244] Process 1. Episode 21100, average_reward -0.068863
Episode 21100: Total Loss of tensor([[-105.4435]], grad_fn=<SubBackward0>)
[2022-11-05 22:22:45.954527] Process 3. Episode 21450, average_reward -0.072494
Episode 21450: Total Loss of tensor([[1.8232]], grad_fn=<SubBackward0>)
[2022-11-05 22:23:03.502797] Process 4. Episode 22900, average_reward -0.072271
Episode 22900: Total Loss of tensor([[1.7379]], grad_fn=<SubBackward0>)
[2022-11-05 22:24:02.654431] Process 5. Episode 21800, average_reward -0.069679
Episode 21800: Total Loss of tensor([[13.4225]], grad_fn=<SubBackward0>)
[2022-11-05 22:24:34.909584] Process 0. Episode 21600, average_reward -0.069861
Episode 21600: Total Loss of tensor([[1.3083]], grad_fn=<SubBackward0>)
[2022-11-05 22:24:37.238708] Process 2. Episode 22000, average_reward -0.074773
Episode 22000: Total Loss of tensor([[-3.2442]], grad_fn=<SubBackward0>)
[2022-11-05 22:24:50.250229] Process 1. Episode 21150, average_reward -0.068936
Episode 21150: Total Loss of tensor([[3.2237]], grad_fn=<SubBackward0>)
[2022-11-05 22:25:10.882483] Process 3. Episode 21500, average_reward -0.072512
Episode 21500: Total Loss of tensor([[5.7297]], grad_fn=<SubBackward0>)
[2022-11-05 22:25:23.918048] Process 4. Episode 22950, average_reward -0.072200
Episode 22950: Total Loss of tensor([[-104.8603]], grad_fn=<SubBackward0>)
[2022-11-05 22:26:37.690964] Process 5. Episode 21850, average_reward -0.069748
Episode 21850: Total Loss of tensor([[15.0846]], grad_fn=<SubBackward0>)
[2022-11-05 22:26:59.099317] Process 2. Episode 22050, average_reward -0.074830
Episode 22050: Total Loss of tensor([[-106.9343]], grad_fn=<SubBackward0>)
[2022-11-05 22:27:02.847929] Process 0. Episode 21650, average_reward -0.069931
Episode 21650: Total Loss of tensor([[4.2031]], grad_fn=<SubBackward0>)
[2022-11-05 22:27:35.515408] Process 3. Episode 21550, average_reward -0.072622
Episode 21550: Total Loss of tensor([[2.3907]], grad_fn=<SubBackward0>)
[2022-11-05 22:27:38.456338] Process 1. Episode 21200, average_reward -0.068821
Episode 21200: Total Loss of tensor([[31.5318]], grad_fn=<SubBackward0>)
[2022-11-05 22:27:44.474099] Process 4. Episode 23000, average_reward -0.072391
Episode 23000: Total Loss of tensor([[14.7607]], grad_fn=<SubBackward0>)
[2022-11-05 22:29:18.554806] Process 5. Episode 21900, average_reward -0.069680
Episode 21900: Total Loss of tensor([[10.2569]], grad_fn=<SubBackward0>)
[2022-11-05 22:29:20.733427] Process 2. Episode 22100, average_reward -0.074887
Episode 22100: Total Loss of tensor([[13.5491]], grad_fn=<SubBackward0>)
[2022-11-05 22:29:27.472020] Process 0. Episode 21700, average_reward -0.069816
Episode 21700: Total Loss of tensor([[6.7270]], grad_fn=<SubBackward0>)
[2022-11-05 22:30:02.302739] Process 4. Episode 23050, average_reward -0.072364
Episode 23050: Total Loss of tensor([[1.5324]], grad_fn=<SubBackward0>)
[2022-11-05 22:30:02.752358] Process 3. Episode 21600, average_reward -0.072546
Episode 21600: Total Loss of tensor([[9.3545]], grad_fn=<SubBackward0>)
[2022-11-05 22:30:21.625931] Process 1. Episode 21250, average_reward -0.068800
Episode 21250: Total Loss of tensor([[5.9655]], grad_fn=<SubBackward0>)
[2022-11-05 22:31:44.342644] Process 2. Episode 22150, average_reward -0.075034
Episode 22150: Total Loss of tensor([[7.0767]], grad_fn=<SubBackward0>)
[2022-11-05 22:31:57.918544] Process 0. Episode 21750, average_reward -0.069839
Episode 21750: Total Loss of tensor([[17.0177]], grad_fn=<SubBackward0>)
[2022-11-05 22:31:58.907255] Process 5. Episode 21950, average_reward -0.069704
Episode 21950: Total Loss of tensor([[-3.8304]], grad_fn=<SubBackward0>)
[2022-11-05 22:32:22.674127] Process 4. Episode 23100, average_reward -0.072294
Episode 23100: Total Loss of tensor([[5.9287]], grad_fn=<SubBackward0>)
[2022-11-05 22:32:35.722974] Process 3. Episode 21650, average_reward -0.072656
Episode 21650: Total Loss of tensor([[13.2027]], grad_fn=<SubBackward0>)
[2022-11-05 22:32:59.843306] Process 1. Episode 21300, average_reward -0.068826
Episode 21300: Total Loss of tensor([[15.9909]], grad_fn=<SubBackward0>)
[2022-11-05 22:34:06.233397] Process 2. Episode 22200, average_reward -0.075090
Episode 22200: Total Loss of tensor([[-5.3831]], grad_fn=<SubBackward0>)
[2022-11-05 22:34:22.686144] Process 0. Episode 21800, average_reward -0.069817
Episode 21800: Total Loss of tensor([[2.3559]], grad_fn=<SubBackward0>)
[2022-11-05 22:34:41.189733] Process 5. Episode 22000, average_reward -0.069773
Episode 22000: Total Loss of tensor([[7.0793]], grad_fn=<SubBackward0>)
[2022-11-05 22:34:43.434266] Process 4. Episode 23150, average_reward -0.072225
Episode 23150: Total Loss of tensor([[2.7043]], grad_fn=<SubBackward0>)
[2022-11-05 22:34:56.418640] Process 3. Episode 21700, average_reward -0.072581
Episode 21700: Total Loss of tensor([[1.8543]], grad_fn=<SubBackward0>)
[2022-11-05 22:35:44.245624] Process 1. Episode 21350, average_reward -0.068852
Episode 21350: Total Loss of tensor([[9.2134]], grad_fn=<SubBackward0>)
[2022-11-05 22:36:45.531102] Process 2. Episode 22250, average_reward -0.075056
Episode 22250: Total Loss of tensor([[4.3288]], grad_fn=<SubBackward0>)
[2022-11-05 22:36:45.598837] Process 0. Episode 21850, average_reward -0.069886
Episode 21850: Total Loss of tensor([[-8.7455]], grad_fn=<SubBackward0>)
[2022-11-05 22:37:02.925845] Process 4. Episode 23200, average_reward -0.072284
Episode 23200: Total Loss of tensor([[19.9925]], grad_fn=<SubBackward0>)
[2022-11-05 22:37:18.393176] Process 3. Episode 21750, average_reward -0.072690
Episode 21750: Total Loss of tensor([[13.9010]], grad_fn=<SubBackward0>)
[2022-11-05 22:37:21.435325] Process 5. Episode 22050, average_reward -0.069887
Episode 22050: Total Loss of tensor([[17.2123]], grad_fn=<SubBackward0>)
[2022-11-05 22:38:19.912952] Process 1. Episode 21400, average_reward -0.068785
Episode 21400: Total Loss of tensor([[10.6679]], grad_fn=<SubBackward0>)
[2022-11-05 22:39:15.989667] Process 0. Episode 21900, average_reward -0.069772
Episode 21900: Total Loss of tensor([[12.5668]], grad_fn=<SubBackward0>)
[2022-11-05 22:39:23.485380] Process 4. Episode 23250, average_reward -0.072301
Episode 23250: Total Loss of tensor([[9.7504]], grad_fn=<SubBackward0>)
[2022-11-05 22:39:28.118100] Process 2. Episode 22300, average_reward -0.075067
Episode 22300: Total Loss of tensor([[6.1222]], grad_fn=<SubBackward0>)
[2022-11-05 22:39:50.409981] Process 3. Episode 21800, average_reward -0.072798
Episode 21800: Total Loss of tensor([[-2.4484]], grad_fn=<SubBackward0>)
[2022-11-05 22:39:55.574150] Process 5. Episode 22100, average_reward -0.069955
Episode 22100: Total Loss of tensor([[-16.2395]], grad_fn=<SubBackward0>)
[2022-11-05 22:40:50.343058] Process 1. Episode 21450, average_reward -0.068811
Episode 21450: Total Loss of tensor([[1.2667]], grad_fn=<SubBackward0>)
[2022-11-05 22:41:43.099691] Process 0. Episode 21950, average_reward -0.069795
Episode 21950: Total Loss of tensor([[-60.8717]], grad_fn=<SubBackward0>)
[2022-11-05 22:41:45.974077] Process 4. Episode 23300, average_reward -0.072361
Episode 23300: Total Loss of tensor([[-1.3479]], grad_fn=<SubBackward0>)
[2022-11-05 22:41:52.057084] Process 2. Episode 22350, average_reward -0.075078
Episode 22350: Total Loss of tensor([[-3.3538]], grad_fn=<SubBackward0>)
[2022-11-05 22:42:27.159341] Process 5. Episode 22150, average_reward -0.069842
Episode 22150: Total Loss of tensor([[18.1517]], grad_fn=<SubBackward0>)
[2022-11-05 22:42:28.187416] Process 3. Episode 21850, average_reward -0.072723
Episode 21850: Total Loss of tensor([[8.2319]], grad_fn=<SubBackward0>)
[2022-11-05 22:43:21.900394] Process 1. Episode 21500, average_reward -0.068744
Episode 21500: Total Loss of tensor([[4.3719]], grad_fn=<SubBackward0>)
[2022-11-05 22:44:09.310571] Process 4. Episode 23350, average_reward -0.072377
Episode 23350: Total Loss of tensor([[4.3228]], grad_fn=<SubBackward0>)
[2022-11-05 22:44:10.897193] Process 0. Episode 22000, average_reward -0.069909
Episode 22000: Total Loss of tensor([[23.0341]], grad_fn=<SubBackward0>)
[2022-11-05 22:44:21.176300] Process 2. Episode 22400, average_reward -0.075089
Episode 22400: Total Loss of tensor([[0.0663]], grad_fn=<SubBackward0>)
[2022-11-05 22:44:57.585933] Process 5. Episode 22200, average_reward -0.069955
Episode 22200: Total Loss of tensor([[-0.8879]], grad_fn=<SubBackward0>)
[2022-11-05 22:45:04.363366] Process 3. Episode 21900, average_reward -0.072785
Episode 21900: Total Loss of tensor([[-37.0435]], grad_fn=<SubBackward0>)
[2022-11-05 22:45:45.603422] Process 1. Episode 21550, average_reward -0.068631
Episode 21550: Total Loss of tensor([[10.4550]], grad_fn=<SubBackward0>)
[2022-11-05 22:46:25.633499] Process 4. Episode 23400, average_reward -0.072350
Episode 23400: Total Loss of tensor([[7.7073]], grad_fn=<SubBackward0>)
[2022-11-05 22:46:45.056849] Process 0. Episode 22050, average_reward -0.069841
Episode 22050: Total Loss of tensor([[19.8896]], grad_fn=<SubBackward0>)
[2022-11-05 22:47:03.620521] Process 2. Episode 22450, average_reward -0.075056
Episode 22450: Total Loss of tensor([[-1.5917]], grad_fn=<SubBackward0>)
[2022-11-05 22:47:38.912365] Process 5. Episode 22250, average_reward -0.069978
Episode 22250: Total Loss of tensor([[-60.0489]], grad_fn=<SubBackward0>)
[2022-11-05 22:47:43.353026] Process 3. Episode 21950, average_reward -0.072802
Episode 21950: Total Loss of tensor([[11.2506]], grad_fn=<SubBackward0>)
[2022-11-05 22:48:05.667343] Process 1. Episode 21600, average_reward -0.068704
Episode 21600: Total Loss of tensor([[5.2459]], grad_fn=<SubBackward0>)
[2022-11-05 22:48:43.273412] Process 4. Episode 23450, average_reward -0.072452
Episode 23450: Total Loss of tensor([[-52.2160]], grad_fn=<SubBackward0>)
[2022-11-05 22:49:23.935012] Process 0. Episode 22100, average_reward -0.069819
Episode 22100: Total Loss of tensor([[9.9999]], grad_fn=<SubBackward0>)
[2022-11-05 22:49:41.102537] Process 2. Episode 22500, average_reward -0.075111
Episode 22500: Total Loss of tensor([[13.2245]], grad_fn=<SubBackward0>)
[2022-11-05 22:50:09.230902] Process 5. Episode 22300, average_reward -0.070090
Episode 22300: Total Loss of tensor([[-14.4698]], grad_fn=<SubBackward0>)
[2022-11-05 22:50:22.429107] Process 3. Episode 22000, average_reward -0.072818
Episode 22000: Total Loss of tensor([[0.4329]], grad_fn=<SubBackward0>)
[2022-11-05 22:50:29.532300] Process 1. Episode 21650, average_reward -0.068591
Episode 21650: Total Loss of tensor([[1.0784]], grad_fn=<SubBackward0>)
[2022-11-05 22:51:06.741905] Process 4. Episode 23500, average_reward -0.072468
Episode 23500: Total Loss of tensor([[1.3381]], grad_fn=<SubBackward0>)
[2022-11-05 22:51:52.540991] Process 0. Episode 22150, average_reward -0.069797
Episode 22150: Total Loss of tensor([[-51.5803]], grad_fn=<SubBackward0>)
[2022-11-05 22:52:06.169769] Process 2. Episode 22550, average_reward -0.075078
Episode 22550: Total Loss of tensor([[11.1677]], grad_fn=<SubBackward0>)
[2022-11-05 22:52:44.882190] Process 5. Episode 22350, average_reward -0.070067
Episode 22350: Total Loss of tensor([[16.7616]], grad_fn=<SubBackward0>)
[2022-11-05 22:52:55.057385] Process 1. Episode 21700, average_reward -0.068571
Episode 21700: Total Loss of tensor([[-129.1064]], grad_fn=<SubBackward0>)
[2022-11-05 22:53:08.808776] Process 3. Episode 22050, average_reward -0.072789
Episode 22050: Total Loss of tensor([[6.5785]], grad_fn=<SubBackward0>)
[2022-11-05 22:53:27.384866] Process 4. Episode 23550, average_reward -0.072399
Episode 23550: Total Loss of tensor([[3.0090]], grad_fn=<SubBackward0>)
[2022-11-05 22:54:15.548386] Process 0. Episode 22200, average_reward -0.069820
Episode 22200: Total Loss of tensor([[10.4127]], grad_fn=<SubBackward0>)
[2022-11-05 22:54:30.337018] Process 2. Episode 22600, average_reward -0.075044
Episode 22600: Total Loss of tensor([[-73.6037]], grad_fn=<SubBackward0>)
[2022-11-05 22:55:18.769983] Process 5. Episode 22400, average_reward -0.070089
Episode 22400: Total Loss of tensor([[9.2158]], grad_fn=<SubBackward0>)
[2022-11-05 22:55:28.365991] Process 1. Episode 21750, average_reward -0.068644
Episode 21750: Total Loss of tensor([[30.4699]], grad_fn=<SubBackward0>)
[2022-11-05 22:55:46.985837] Process 3. Episode 22100, average_reward -0.072805
Episode 22100: Total Loss of tensor([[8.8033]], grad_fn=<SubBackward0>)
[2022-11-05 22:55:47.195910] Process 4. Episode 23600, average_reward -0.072415
Episode 23600: Total Loss of tensor([[3.4131]], grad_fn=<SubBackward0>)
[2022-11-05 22:56:43.331160] Process 0. Episode 22250, average_reward -0.069933
Episode 22250: Total Loss of tensor([[-86.2297]], grad_fn=<SubBackward0>)
[2022-11-05 22:56:54.337793] Process 2. Episode 22650, average_reward -0.075011
Episode 22650: Total Loss of tensor([[-20.0727]], grad_fn=<SubBackward0>)
[2022-11-05 22:57:58.600794] Process 5. Episode 22450, average_reward -0.069933
Episode 22450: Total Loss of tensor([[10.0162]], grad_fn=<SubBackward0>)
[2022-11-05 22:58:06.710758] Process 4. Episode 23650, average_reward -0.072304
Episode 23650: Total Loss of tensor([[2.1472]], grad_fn=<SubBackward0>)
[2022-11-05 22:58:09.028634] Process 1. Episode 21800, average_reward -0.068624
Episode 21800: Total Loss of tensor([[13.8789]], grad_fn=<SubBackward0>)
[2022-11-05 22:58:17.125130] Process 3. Episode 22150, average_reward -0.072777
Episode 22150: Total Loss of tensor([[-46.6187]], grad_fn=<SubBackward0>)
[2022-11-05 22:59:12.034355] Process 0. Episode 22300, average_reward -0.070000
Episode 22300: Total Loss of tensor([[0.6971]], grad_fn=<SubBackward0>)
[2022-11-05 22:59:20.563887] Process 2. Episode 22700, average_reward -0.074890
Episode 22700: Total Loss of tensor([[17.4057]], grad_fn=<SubBackward0>)
[2022-11-05 23:00:25.430495] Process 4. Episode 23700, average_reward -0.072278
Episode 23700: Total Loss of tensor([[-37.9393]], grad_fn=<SubBackward0>)
[2022-11-05 23:00:27.438166] Process 5. Episode 22500, average_reward -0.070000
Episode 22500: Total Loss of tensor([[3.8699]], grad_fn=<SubBackward0>)
[2022-11-05 23:00:48.232634] Process 1. Episode 21850, average_reward -0.068558
Episode 21850: Total Loss of tensor([[-0.2172]], grad_fn=<SubBackward0>)
[2022-11-05 23:00:49.032737] Process 3. Episode 22200, average_reward -0.072883
Episode 22200: Total Loss of tensor([[4.0400]], grad_fn=<SubBackward0>)
[2022-11-05 23:01:40.831526] Process 0. Episode 22350, average_reward -0.069933
Episode 22350: Total Loss of tensor([[9.4449]], grad_fn=<SubBackward0>)
[2022-11-05 23:01:45.452494] Process 2. Episode 22750, average_reward -0.074857
Episode 22750: Total Loss of tensor([[2.4600]], grad_fn=<SubBackward0>)
[2022-11-05 23:02:47.137219] Process 4. Episode 23750, average_reward -0.072421
Episode 23750: Total Loss of tensor([[6.9972]], grad_fn=<SubBackward0>)
[2022-11-05 23:03:08.343489] Process 5. Episode 22550, average_reward -0.070067
Episode 22550: Total Loss of tensor([[14.3548]], grad_fn=<SubBackward0>)
[2022-11-05 23:03:14.867535] Process 1. Episode 21900, average_reward -0.068584
Episode 21900: Total Loss of tensor([[11.6080]], grad_fn=<SubBackward0>)
[2022-11-05 23:03:14.944268] Process 3. Episode 22250, average_reward -0.072854
Episode 22250: Total Loss of tensor([[4.6714]], grad_fn=<SubBackward0>)
[2022-11-05 23:04:04.889849] Process 0. Episode 22400, average_reward -0.069866
Episode 22400: Total Loss of tensor([[4.1733]], grad_fn=<SubBackward0>)
[2022-11-05 23:04:14.315288] Process 2. Episode 22800, average_reward -0.074737
Episode 22800: Total Loss of tensor([[1.3109]], grad_fn=<SubBackward0>)
[2022-11-05 23:05:08.997643] Process 4. Episode 23800, average_reward -0.072395
Episode 23800: Total Loss of tensor([[0.6485]], grad_fn=<SubBackward0>)
[2022-11-05 23:05:40.981255] Process 3. Episode 22300, average_reward -0.072915
Episode 22300: Total Loss of tensor([[4.9203]], grad_fn=<SubBackward0>)
[2022-11-05 23:05:46.861936] Process 1. Episode 21950, average_reward -0.068702
Episode 21950: Total Loss of tensor([[7.6334]], grad_fn=<SubBackward0>)
[2022-11-05 23:05:51.766614] Process 5. Episode 22600, average_reward -0.070221
Episode 22600: Total Loss of tensor([[17.0832]], grad_fn=<SubBackward0>)
[2022-11-05 23:06:32.408206] Process 0. Episode 22450, average_reward -0.069800
Episode 22450: Total Loss of tensor([[16.2727]], grad_fn=<SubBackward0>)
[2022-11-05 23:06:40.113061] Process 2. Episode 22850, average_reward -0.074661
Episode 22850: Total Loss of tensor([[8.1747]], grad_fn=<SubBackward0>)
[2022-11-05 23:07:30.412153] Process 4. Episode 23850, average_reward -0.072369
Episode 23850: Total Loss of tensor([[17.6839]], grad_fn=<SubBackward0>)
[2022-11-05 23:08:13.369733] Process 3. Episode 22350, average_reward -0.072886
Episode 22350: Total Loss of tensor([[15.0874]], grad_fn=<SubBackward0>)
[2022-11-05 23:08:23.001606] Process 1. Episode 22000, average_reward -0.068682
Episode 22000: Total Loss of tensor([[-3.3573]], grad_fn=<SubBackward0>)
[2022-11-05 23:08:26.782916] Process 5. Episode 22650, average_reward -0.070331
Episode 22650: Total Loss of tensor([[6.3995]], grad_fn=<SubBackward0>)
[2022-11-05 23:09:06.802327] Process 2. Episode 22900, average_reward -0.074585
Episode 22900: Total Loss of tensor([[12.5068]], grad_fn=<SubBackward0>)
[2022-11-05 23:09:11.305462] Process 0. Episode 22500, average_reward -0.069733
Episode 22500: Total Loss of tensor([[2.1935]], grad_fn=<SubBackward0>)
[2022-11-05 23:09:51.635840] Process 4. Episode 23900, average_reward -0.072343
Episode 23900: Total Loss of tensor([[-111.9007]], grad_fn=<SubBackward0>)
[2022-11-05 23:10:41.082759] Process 3. Episode 22400, average_reward -0.072946
Episode 22400: Total Loss of tensor([[-81.4735]], grad_fn=<SubBackward0>)
[2022-11-05 23:10:55.421911] Process 1. Episode 22050, average_reward -0.068617
Episode 22050: Total Loss of tensor([[-0.0844]], grad_fn=<SubBackward0>)
[2022-11-05 23:11:07.587212] Process 5. Episode 22700, average_reward -0.070352
Episode 22700: Total Loss of tensor([[-16.2882]], grad_fn=<SubBackward0>)
[2022-11-05 23:11:34.828053] Process 2. Episode 22950, average_reward -0.074815
Episode 22950: Total Loss of tensor([[23.3605]], grad_fn=<SubBackward0>)
[2022-11-05 23:11:53.209292] Process 0. Episode 22550, average_reward -0.069667
Episode 22550: Total Loss of tensor([[-18.7429]], grad_fn=<SubBackward0>)
[2022-11-05 23:12:13.907552] Process 4. Episode 23950, average_reward -0.072234
Episode 23950: Total Loss of tensor([[4.4317]], grad_fn=<SubBackward0>)
[2022-11-05 23:13:26.970328] Process 3. Episode 22450, average_reward -0.072962
Episode 22450: Total Loss of tensor([[9.4651]], grad_fn=<SubBackward0>)
[2022-11-05 23:13:35.168259] Process 1. Episode 22100, average_reward -0.068643
Episode 22100: Total Loss of tensor([[-22.8169]], grad_fn=<SubBackward0>)
[2022-11-05 23:13:45.664761] Process 5. Episode 22750, average_reward -0.070330
Episode 22750: Total Loss of tensor([[3.3229]], grad_fn=<SubBackward0>)
[2022-11-05 23:14:00.569030] Process 2. Episode 23000, average_reward -0.074739
Episode 23000: Total Loss of tensor([[16.3955]], grad_fn=<SubBackward0>)
[2022-11-05 23:14:26.834710] Process 0. Episode 22600, average_reward -0.069602
Episode 22600: Total Loss of tensor([[13.9246]], grad_fn=<SubBackward0>)
[2022-11-05 23:14:30.049039] Process 4. Episode 24000, average_reward -0.072333
Episode 24000: Total Loss of tensor([[10.0218]], grad_fn=<SubBackward0>)
[2022-11-05 23:15:57.816101] Process 3. Episode 22500, average_reward -0.072889
Episode 22500: Total Loss of tensor([[9.8734]], grad_fn=<SubBackward0>)
[2022-11-05 23:16:16.447080] Process 1. Episode 22150, average_reward -0.068804
Episode 22150: Total Loss of tensor([[-26.6093]], grad_fn=<SubBackward0>)
[2022-11-05 23:16:30.841514] Process 5. Episode 22800, average_reward -0.070395
Episode 22800: Total Loss of tensor([[9.6837]], grad_fn=<SubBackward0>)
[2022-11-05 23:16:32.796293] Process 2. Episode 23050, average_reward -0.074620
Episode 23050: Total Loss of tensor([[5.9319]], grad_fn=<SubBackward0>)
[2022-11-05 23:16:59.420084] Process 4. Episode 24050, average_reward -0.072266
Episode 24050: Total Loss of tensor([[-42.6975]], grad_fn=<SubBackward0>)
[2022-11-05 23:17:01.489716] Process 0. Episode 22650, average_reward -0.069581
Episode 22650: Total Loss of tensor([[4.5086]], grad_fn=<SubBackward0>)
[2022-11-05 23:18:44.560957] Process 3. Episode 22550, average_reward -0.072905
Episode 22550: Total Loss of tensor([[5.9604]], grad_fn=<SubBackward0>)
[2022-11-05 23:19:13.948141] Process 2. Episode 23100, average_reward -0.074632
Episode 23100: Total Loss of tensor([[8.6117]], grad_fn=<SubBackward0>)
[2022-11-05 23:19:17.495762] Process 1. Episode 22200, average_reward -0.068784
Episode 22200: Total Loss of tensor([[9.1791]], grad_fn=<SubBackward0>)
[2022-11-05 23:19:31.985369] Process 5. Episode 22850, average_reward -0.070372
Episode 22850: Total Loss of tensor([[-2.8525]], grad_fn=<SubBackward0>)
[2022-11-05 23:19:36.213251] Process 4. Episode 24100, average_reward -0.072241
Episode 24100: Total Loss of tensor([[-105.8531]], grad_fn=<SubBackward0>)
[2022-11-05 23:19:40.087311] Process 0. Episode 22700, average_reward -0.069604
Episode 22700: Total Loss of tensor([[-1.0902]], grad_fn=<SubBackward0>)
[2022-11-05 23:21:21.028272] Process 3. Episode 22600, average_reward -0.072832
Episode 22600: Total Loss of tensor([[8.3281]], grad_fn=<SubBackward0>)
[2022-11-05 23:21:49.088241] Process 2. Episode 23150, average_reward -0.074730
Episode 23150: Total Loss of tensor([[6.8466]], grad_fn=<SubBackward0>)
[2022-11-05 23:21:51.078721] Process 1. Episode 22250, average_reward -0.068899
Episode 22250: Total Loss of tensor([[22.2917]], grad_fn=<SubBackward0>)
[2022-11-05 23:22:02.691241] Process 4. Episode 24150, average_reward -0.072257
Episode 24150: Total Loss of tensor([[12.5380]], grad_fn=<SubBackward0>)
[2022-11-05 23:22:11.402966] Process 0. Episode 22750, average_reward -0.069714
Episode 22750: Total Loss of tensor([[15.0495]], grad_fn=<SubBackward0>)
[2022-11-05 23:22:14.027045] Process 5. Episode 22900, average_reward -0.070306
Episode 22900: Total Loss of tensor([[17.1651]], grad_fn=<SubBackward0>)
[2022-11-05 23:23:48.945304] Process 3. Episode 22650, average_reward -0.072715
Episode 22650: Total Loss of tensor([[10.3868]], grad_fn=<SubBackward0>)
[2022-11-05 23:24:27.811223] Process 2. Episode 23200, average_reward -0.074698
Episode 23200: Total Loss of tensor([[1.3980]], grad_fn=<SubBackward0>)
[2022-11-05 23:24:28.258531] Process 1. Episode 22300, average_reward -0.068834
Episode 22300: Total Loss of tensor([[-34.4061]], grad_fn=<SubBackward0>)
[2022-11-05 23:24:29.295273] Process 4. Episode 24200, average_reward -0.072149
Episode 24200: Total Loss of tensor([[-1.7542]], grad_fn=<SubBackward0>)
[2022-11-05 23:24:43.376151] Process 0. Episode 22800, average_reward -0.069649
Episode 22800: Total Loss of tensor([[10.0958]], grad_fn=<SubBackward0>)
[2022-11-05 23:24:53.845701] Process 5. Episode 22950, average_reward -0.070283
Episode 22950: Total Loss of tensor([[7.7168]], grad_fn=<SubBackward0>)
[2022-11-05 23:26:19.066565] Process 3. Episode 22700, average_reward -0.072555
Episode 22700: Total Loss of tensor([[-3.5785]], grad_fn=<SubBackward0>)
[2022-11-05 23:26:54.780515] Process 4. Episode 24250, average_reward -0.072124
Episode 24250: Total Loss of tensor([[-11.3176]], grad_fn=<SubBackward0>)
[2022-11-05 23:26:59.416290] Process 2. Episode 23250, average_reward -0.074624
Episode 23250: Total Loss of tensor([[-0.7470]], grad_fn=<SubBackward0>)
[2022-11-05 23:27:07.388356] Process 1. Episode 22350, average_reward -0.068814
Episode 22350: Total Loss of tensor([[-2.1702]], grad_fn=<SubBackward0>)
[2022-11-05 23:27:12.946820] Process 0. Episode 22850, average_reward -0.069584
Episode 22850: Total Loss of tensor([[6.4665]], grad_fn=<SubBackward0>)
[2022-11-05 23:27:27.714250] Process 5. Episode 23000, average_reward -0.070261
Episode 23000: Total Loss of tensor([[3.9226]], grad_fn=<SubBackward0>)
[2022-11-05 23:28:47.383426] Process 3. Episode 22750, average_reward -0.072527
Episode 22750: Total Loss of tensor([[2.3188]], grad_fn=<SubBackward0>)
[2022-11-05 23:29:18.545735] Process 4. Episode 24300, average_reward -0.072181
Episode 24300: Total Loss of tensor([[-117.8496]], grad_fn=<SubBackward0>)
[2022-11-05 23:29:25.155871] Process 2. Episode 23300, average_reward -0.074721
Episode 23300: Total Loss of tensor([[-96.6835]], grad_fn=<SubBackward0>)
[2022-11-05 23:29:41.643663] Process 0. Episode 22900, average_reward -0.069520
Episode 22900: Total Loss of tensor([[6.7619]], grad_fn=<SubBackward0>)
[2022-11-05 23:29:46.435441] Process 1. Episode 22400, average_reward -0.068795
Episode 22400: Total Loss of tensor([[-29.1865]], grad_fn=<SubBackward0>)
[2022-11-05 23:30:07.977327] Process 5. Episode 23050, average_reward -0.070195
Episode 23050: Total Loss of tensor([[-22.1988]], grad_fn=<SubBackward0>)
[2022-11-05 23:31:17.823761] Process 3. Episode 22800, average_reward -0.072368
Episode 22800: Total Loss of tensor([[12.4234]], grad_fn=<SubBackward0>)
[2022-11-05 23:31:41.113722] Process 4. Episode 24350, average_reward -0.072156
Episode 24350: Total Loss of tensor([[12.5744]], grad_fn=<SubBackward0>)
[2022-11-05 23:31:47.202911] Process 2. Episode 23350, average_reward -0.074690
Episode 23350: Total Loss of tensor([[13.7854]], grad_fn=<SubBackward0>)
[2022-11-05 23:32:09.071130] Process 0. Episode 22950, average_reward -0.069586
Episode 22950: Total Loss of tensor([[12.0141]], grad_fn=<SubBackward0>)
[2022-11-05 23:32:21.201400] Process 1. Episode 22450, average_reward -0.068909
